sample	transcript	n	mean	sigma	prop	min	conv	synthrate	synthrate_norm
mmu_dRNA_3T3_mion_1	ENSMUST00000176500	21	2308.93239563242	977.134556215804	0.536835495895921	227	1	0.000556723216012997	0.000556723216012997
mmu_dRNA_3T3_mion_1	ENSMUST00000176506	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176509	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176518	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176523	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176531	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176540	108	1672.11692138673	854.328623993827	0.531043506189706	195	1	0.000766624465857383	0.000766624465857383
mmu_dRNA_3T3_mion_1	ENSMUST00000176557	32	930.230674055163	242.400074736889	0.548727565980039	244	1	0.00177193524142689	0.00177193524142689
mmu_dRNA_3T3_mion_1	ENSMUST00000176565	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176600	16	1963.43545277393	838.612158941892	0.562521313834665	387	1	0.000815653849187782	0.000815653849187782
mmu_dRNA_3T3_mion_1	ENSMUST00000176610	29	2089.13236244489	22.8178928675559	0.674813246936745	240	1	0.00112223227397193	0.00112223227397193
mmu_dRNA_3T3_mion_1	ENSMUST00000176629	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176630	25	1409.59535566132	1065.20299639108	0.635731655607552	323	1	0.00160614430044592	0.00160614430044592
mmu_dRNA_3T3_mion_1	ENSMUST00000176637	83	1240.28925029213	499.95966005524	0.482985672931177	153	1	0.000859184781425684	0.000859184781425684
mmu_dRNA_3T3_mion_1	ENSMUST00000176652	104	2599.13333516011	77.8986261940935	0.516599586515254	240	1	0.000452996190014258	0.000452996190014258
mmu_dRNA_3T3_mion_1	ENSMUST00000176663	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176667	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176670	12	1971.74650692379	285.380816526915	0.496037550541919	487	1	0.000662924491163301	0.000662924491163301
mmu_dRNA_3T3_mion_1	ENSMUST00000176683	1339	444.73501126757	47.6240250618117	0.363446611256077	145	1	0.0019048830381473	0.0019048830381473
mmu_dRNA_3T3_mion_1	ENSMUST00000176686	20	1550.15258141482	307.184401267389	0.581951052061162	250	1	0.00107069309092836	0.00107069309092836
mmu_dRNA_3T3_mion_1	ENSMUST00000176696	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176732	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176745	47	1723.86168129425	846.034813411824	0.541702840966696	176	1	0.000763627920583094	0.000763627920583094
mmu_dRNA_3T3_mion_1	ENSMUST00000176769	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176790	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176802	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176824	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176825	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176826	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176828	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176854	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176892	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176893	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176906	706	474.790908598614	105.534454032761	0.42957429771848	183	1	0.00258087782799313	0.00258087782799313
mmu_dRNA_3T3_mion_1	ENSMUST00000176922	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176923	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176939	35	1652.71287257965	672.635083857847	0.541775382164678	349	1	0.000906898943148577	0.000906898943148577
mmu_dRNA_3T3_mion_1	ENSMUST00000176957	415	1058.3046381631	89.6302038423043	0.648706358497621	141	1	0.0020130950286849	0.0020130950286849
mmu_dRNA_3T3_mion_1	ENSMUST00000177005	325	1551.88472446085	54.0865265497306	0.749664692209547	196	1	0.00220862600433057	0.00220862600433057
mmu_dRNA_3T3_mion_1	ENSMUST00000177019	127	1132.31991021733	454.441486295272	0.513991069819859	144	1	0.00107007392053876	0.00107007392053876
mmu_dRNA_3T3_mion_1	ENSMUST00000177026	NA	NA	NA	NA	NA	0	NA	NA
