transcript,name,gene,n_readlength,maxmean_readlength,sigma_readlength,prop_readlength,min_readlength,n_polyA,maxmean_polyA,sigma_polyA,prop_polyA,min_polyA,t5,transcript_id,hist5p_0,hist5p_1,hist5p_2,hist5p_3,hist5p_4,hist5p_5,hist5p_6,hist5p_7,hist5p_8,hist5p_9,hist3p_0,hist3p_1,hist3p_2,hist3p_3,hist3p_4,hist3p_5,hist3p_6,hist3p_7,hist3p_8,hist3p_9
ENSMUST00000003451,Rnd1,ENSMUSG00000054855,19.0,1105.58066379258,480.739132970933,0.561176452311272,178.0,15.0,145.850048443882,15.8801420093702,0.633685491742021,2.85,0.1,ENSMUST00000003451,0.2105263157894736,0.0526315789473684,0.0526315789473684,0.2631578947368421,0.0,0.2631578947368421,0.1578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.1052631578947368,0.0,0.0,0.0,0.8947368421052632,0.0,0.0
ENSMUST00000027521,Agap1,ENSMUSG00000055013,132.0,1693.66104298348,944.985088600894,0.565817842503773,194.0,83.0,155.961198925989,78.8011731994402,0.536025735006944,15.0,1.35370036324106,ENSMUST00000027521,0.0378787878787878,0.106060606060606,0.1515151515151515,0.106060606060606,0.0151515151515151,0.0075757575757575,0.1439393939393939,0.4318181818181818,0.0,0.0,0.0,0.0075757575757575,0.0075757575757575,0.3712121212121212,0.0227272727272727,0.0,0.0,0.0,0.5909090909090909,0.0
ENSMUST00000068387,Ep300,ENSMUSG00000055024,183.0,1541.92338002947,1129.93528192671,0.612283293832692,189.0,108.0,188.669087704297,62.1062075499974,0.507172998311962,5.88,0.52923694686355405,ENSMUST00000068387,0.0055865921787709,0.0,0.0,0.0,0.0111731843575419,0.0055865921787709,0.0279329608938547,0.0614525139664804,0.2234636871508379,0.664804469273743,0.0,0.0055865921787709,0.0,0.0,0.0,0.0,0.0,0.0,0.0055865921787709,0.988826815642458
ENSMUST00000068407,Commd5,ENSMUSG00000055041,114.0,1113.64750834733,106.125630757872,0.510873594957199,186.0,76.0,126.288937917745,64.8051922435225,0.564830993115836,19.58,0.69383729868033595,ENSMUST00000068407,0.543859649122807,0.043859649122807,0.0263157894736842,0.0350877192982456,0.0526315789473684,0.0614035087719298,0.0701754385964912,0.0614035087719298,0.0964912280701754,0.0087719298245614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSMUST00000105321,Nfic,ENSMUSG00000055053,798.0,1470.14312109158,916.698191342537,0.568041601285444,111.0,504.0,127.96948184508,67.4922529282648,0.543621631933042,1.25,2.8592460605382701,ENSMUST00000105321,0.0037593984962406,0.0075187969924812,0.0338345864661654,0.075187969924812,0.1541353383458646,0.1052631578947368,0.0388471177944862,0.093984962406015,0.213032581453634,0.2744360902255639,0.0,0.0,0.0,0.0,0.0012531328320802,0.3270676691729323,0.0,0.0,0.0050125313283208,0.6666666666666666
ENSMUST00000210238,Arntl,ENSMUSG00000055116,19.0,1503.32645470587,785.375796808167,0.577159042683781,338.0,14.0,211.0026481892,112.043291819032,0.581316585197007,25.88,0.74757196518320101,ENSMUST00000210238,0.0526315789473684,0.0,0.1052631578947368,0.0,0.0,0.2105263157894736,0.1052631578947368,0.2631578947368421,0.2105263157894736,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1052631578947368,0.8947368421052632
ENSMUST00000067912,Klf2,ENSMUSG00000055148,133.0,1544.80166892233,115.63768098329,0.603928904956338,165.0,98.0,159.121282879425,67.3631741640362,0.513894141973456,6.43,0.1,ENSMUST00000067912,0.3458646616541353,0.1052631578947368,0.1052631578947368,0.0827067669172932,0.0676691729323308,0.1428571428571428,0.0977443609022556,0.0451127819548872,0.0075187969924812,0.0,0.0,0.0,0.0,0.0,0.0,0.0075187969924812,0.0,0.0225563909774436,0.9398496240601504,0.0300751879699248
ENSMUST00000068641,Sertad3,ENSMUSG00000055200,77.0,1368.80169363526,115.589567928457,0.57051536807296,104.0,61.0,152.669508325032,56.4764466670719,0.505021220570218,1.17,0.1,ENSMUST00000068641,0.4285714285714285,0.0779220779220779,0.0389610389610389,0.0779220779220779,0.0909090909090909,0.0649350649350649,0.0779220779220779,0.1168831168831168,0.0259740259740259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0259740259740259,0.974025974025974
ENSMUST00000068697,Kcmf1,ENSMUSG00000055239,479.0,1354.36812600187,571.907545471097,0.525906184169273,147.0,343.0,153.531368372577,73.5307650402164,0.518344242216724,5.43,1.1492230914183901,ENSMUST00000068697,0.2108559498956158,0.0793319415448851,0.1022964509394572,0.1356993736951983,0.2630480167014614,0.0960334029227557,0.0104384133611691,0.0334029227557411,0.0438413361169102,0.0250521920668058,0.0,0.0020876826722338,0.0020876826722338,0.0020876826722338,0.0542797494780793,0.7682672233820459,0.0146137787056367,0.0208768267223382,0.0,0.1356993736951983
ENSMUST00000042942,Sec23ip,ENSMUSG00000055319,243.0,1573.51714440168,999.295988619658,0.596708822262899,190.0,165.0,151.241171815455,68.5587142898216,0.521302230379485,11.5,1.9215855625818901,ENSMUST00000042942,0.0654205607476635,0.0233644859813084,0.0373831775700934,0.0747663551401869,0.0887850467289719,0.1869158878504672,0.2943925233644859,0.1214953271028037,0.0747663551401869,0.0327102803738317,0.0,0.0093457943925233,0.0,0.0,0.0,0.0,0.0046728971962616,0.8411214953271028,0.0093457943925233,0.1355140186915887
ENSMUST00000169786,Tns1,ENSMUSG00000055322,76.0,1435.01549208403,898.596555600501,0.589145196075296,194.0,49.0,189.95971872324,69.0467566245798,0.52797256876312,23.61,2.1873506878806102,ENSMUST00000169786,0.0,0.0,0.0,0.0,0.0526315789473684,0.0263157894736842,0.0526315789473684,0.0789473684210526,0.131578947368421,0.6578947368421053,0.0,0.0,0.0,0.0,0.0,0.0131578947368421,0.0789473684210526,0.0263157894736842,0.0,0.881578947368421
ENSMUST00000111899,Pprc1,ENSMUSG00000055491,133.0,1679.92450023442,813.43153466011,0.546478190663346,232.0,108.0,184.45131250792,82.4927890741792,0.528846926007014,3.68,0.63695298599208605,ENSMUST00000111899,0.0,0.0,0.0151515151515151,0.0,0.053030303030303,0.0833333333333333,0.1515151515151515,0.2045454545454545,0.3333333333333333,0.1590909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075757575757575,0.9924242424242424
ENSMUST00000069180,Zcchc24,ENSMUSG00000055538,336.0,1486.51707834072,952.146436501039,0.58959574371465,162.0,230.0,181.403364121357,72.8675753097916,0.518438823835499,12.93,1.05495355119315,ENSMUST00000069180,0.0148809523809523,0.0029761904761904,0.0119047619047619,0.0089285714285714,0.0357142857142857,0.0535714285714285,0.0803571428571428,0.2172619047619047,0.3333333333333333,0.2410714285714285,0.0,0.0029761904761904,0.0,0.0,0.0,0.0029761904761904,0.0029761904761904,0.0059523809523809,0.0059523809523809,0.9791666666666666
ENSMUST00000209415,Klhl26,ENSMUSG00000055707,78.0,1436.98722099575,703.2102931495,0.554374419583339,155.0,60.0,168.965698366436,81.2494946081657,0.560332747426962,24.82,1.9077840146485701,ENSMUST00000209415,0.0128205128205128,0.0256410256410256,0.0512820512820512,0.0641025641025641,0.0769230769230769,0.0769230769230769,0.1282051282051282,0.1666666666666666,0.2051282051282051,0.1923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSMUST00000069449,Rras2,ENSMUSG00000055723,328.0,1281.25829153197,571.577007645883,0.523292664203358,103.0,201.0,153.063500743417,68.4275477365564,0.527273461260733,11.48,2.0749478079810499,ENSMUST00000069449,0.1707317073170731,0.0640243902439024,0.0884146341463414,0.0792682926829268,0.1006097560975609,0.1554878048780487,0.0548780487804878,0.0884146341463414,0.1310975609756097,0.0670731707317073,0.0,0.0,0.0,0.0030487804878048,0.0,0.0152439024390243,0.4146341463414634,0.0457317073170731,0.0,0.5213414634146342
